competition,year,round,type,division,category,display_name,source_url,pdf_path,md_path,tex_path,num_pages
HMMT February,2021,Team,problems,,,HMMT February 2021 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/feb/team/problems.pdf,hmmt_pdfs/HMMT_February_2021_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2021_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2021_Team_Problems.tex.zip,2
HMMT February,2021,Team,solutions,,,HMMT February 2021 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/feb/team/solutions.pdf,hmmt_pdfs/HMMT_February_2021_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2021_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2021_Team_Solutions.tex.zip,7
HMMT February,2020,Algebra,problems,,,HMMT February 2020 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/feb/algnt/problems.pdf,hmmt_pdfs/HMMT_February_2020_Algebra_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2020_Algebra_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2020_Algebra_Problems.tex.zip,1
HMMT February,2020,Algebra,solutions,,,HMMT February 2020 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/feb/algnt/solutions.pdf,hmmt_pdfs/HMMT_February_2020_Algebra_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2020_Algebra_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2020_Algebra_Solutions.tex.zip,7
HMMT February,2020,Combinatorics,problems,,,HMMT February 2020 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/feb/comb/problems.pdf,hmmt_pdfs/HMMT_February_2020_Combinatorics_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2020_Combinatorics_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2020_Combinatorics_Problems.tex.zip,1
HMMT February,2020,Combinatorics,solutions,,,HMMT February 2020 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/feb/comb/solutions.pdf,hmmt_pdfs/HMMT_February_2020_Combinatorics_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2020_Combinatorics_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2020_Combinatorics_Solutions.tex.zip,7
HMMT February,2020,Geometry,problems,,,HMMT February 2020 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/feb/geo/problems.pdf,hmmt_pdfs/HMMT_February_2020_Geometry_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2020_Geometry_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2020_Geometry_Problems.tex.zip,1
HMMT February,2020,Geometry,solutions,,,HMMT February 2020 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/feb/geo/solutions.pdf,hmmt_pdfs/HMMT_February_2020_Geometry_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2020_Geometry_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2020_Geometry_Solutions.tex.zip,10
HMMT February,2020,Guts,problems,,,HMMT February 2020 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/feb/guts/problems.pdf,hmmt_pdfs/HMMT_February_2020_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2020_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2020_Guts_Problems.tex.zip,5
HMMT February,2020,Guts,solutions,,,HMMT February 2020 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/feb/guts/solutions.pdf,hmmt_pdfs/HMMT_February_2020_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2020_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2020_Guts_Solutions.tex.zip,20
HMMT February,2020,Team,problems,,,HMMT February 2020 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/feb/team/problems.pdf,hmmt_pdfs/HMMT_February_2020_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2020_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2020_Team_Problems.tex.zip,1
HMMT February,2020,Team,solutions,,,HMMT February 2020 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/feb/team/solutions.pdf,hmmt_pdfs/HMMT_February_2020_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2020_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2020_Team_Solutions.tex.zip,9
HMMT February,2019,Algebra,problems,,,HMMT February 2019 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2019/feb/algnt/problems.pdf,hmmt_pdfs/HMMT_February_2019_Algebra_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2019_Algebra_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2019_Algebra_Problems.tex.zip,1
HMMT February,2019,Algebra,solutions,,,HMMT February 2019 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2019/feb/algnt/solutions.pdf,hmmt_pdfs/HMMT_February_2019_Algebra_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2019_Algebra_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2019_Algebra_Solutions.tex.zip,5
HMMT February,2019,Combinatorics,problems,,,HMMT February 2019 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2019/feb/comb/problems.pdf,hmmt_pdfs/HMMT_February_2019_Combinatorics_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2019_Combinatorics_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2019_Combinatorics_Problems.tex.zip,1
HMMT February,2019,Combinatorics,solutions,,,HMMT February 2019 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2019/feb/comb/solutions.pdf,hmmt_pdfs/HMMT_February_2019_Combinatorics_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2019_Combinatorics_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2019_Combinatorics_Solutions.tex.zip,6
HMMT February,2019,Geometry,problems,,,HMMT February 2019 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2019/feb/geo/problems.pdf,hmmt_pdfs/HMMT_February_2019_Geometry_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2019_Geometry_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2019_Geometry_Problems.tex.zip,1
HMMT February,2019,Geometry,solutions,,,HMMT February 2019 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2019/feb/geo/solutions.pdf,hmmt_pdfs/HMMT_February_2019_Geometry_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2019_Geometry_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2019_Geometry_Solutions.tex.zip,6
HMMT February,2019,Guts,problems,,,HMMT February 2019 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2019/feb/guts/problems.pdf,hmmt_pdfs/HMMT_February_2019_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2019_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2019_Guts_Problems.tex.zip,6
HMMT February,2019,Guts,solutions,,,HMMT February 2019 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2019/feb/guts/solutions.pdf,hmmt_pdfs/HMMT_February_2019_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2019_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2019_Guts_Solutions.tex.zip,18
HMMT February,2019,Team,problems,,,HMMT February 2019 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2019/feb/team/problems.pdf,hmmt_pdfs/HMMT_February_2019_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2019_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2019_Team_Problems.tex.zip,1
HMMT February,2019,Team,solutions,,,HMMT February 2019 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2019/feb/team/solutions.pdf,hmmt_pdfs/HMMT_February_2019_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2019_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2019_Team_Solutions.tex.zip,8
HMMT February,2018,Algebra,problems,,,HMMT February 2018 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2018/feb/algnt/problems.pdf,hmmt_pdfs/HMMT_February_2018_Algebra_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2018_Algebra_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2018_Algebra_Problems.tex.zip,1
