competition,year,round,type,division,category,display_name,source_url,pdf_path,md_path,tex_path,num_pages
HMMT February,2012,Guts,solutions,,,HMMT February 2012 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2012/feb/guts/solutions.pdf,hmmt_pdfs/HMMT_February_2012_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2012_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2012_Guts_Solutions.tex.zip,13
HMMT February,2011,Guts,problems,,,HMMT February 2011 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2011/feb/guts/problems.pdf,hmmt_pdfs/HMMT_February_2011_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2011_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2011_Guts_Problems.tex.zip,4
HMMT February,2011,Guts,solutions,,,HMMT February 2011 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2011/feb/guts/solutions.pdf,hmmt_pdfs/HMMT_February_2011_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2011_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2011_Guts_Solutions.tex.zip,19
HMMT February,2010,Algebra,problems,,,HMMT February 2010 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2010/feb/algnt/problems.pdf,hmmt_pdfs/HMMT_February_2010_Algebra_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2010_Algebra_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2010_Algebra_Problems.tex.zip,1
HMMT February,2010,Algebra,solutions,,,HMMT February 2010 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2010/feb/algnt/solutions.pdf,hmmt_pdfs/HMMT_February_2010_Algebra_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2010_Algebra_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2010_Algebra_Solutions.tex.zip,4
HMMT February,2010,Combinatorics,problems,,,HMMT February 2010 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2010/feb/comb/problems.pdf,hmmt_pdfs/HMMT_February_2010_Combinatorics_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2010_Combinatorics_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2010_Combinatorics_Problems.tex.zip,1
HMMT February,2010,Combinatorics,solutions,,,HMMT February 2010 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2010/feb/comb/solutions.pdf,hmmt_pdfs/HMMT_February_2010_Combinatorics_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2010_Combinatorics_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2010_Combinatorics_Solutions.tex.zip,5
HMMT February,2010,Geometry,problems,,,HMMT February 2010 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2010/feb/geo/problems.pdf,hmmt_pdfs/HMMT_February_2010_Geometry_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2010_Geometry_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2010_Geometry_Problems.tex.zip,1
HMMT February,2010,Geometry,solutions,,,HMMT February 2010 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2010/feb/geo/solutions.pdf,hmmt_pdfs/HMMT_February_2010_Geometry_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2010_Geometry_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2010_Geometry_Solutions.tex.zip,9
HMMT February,2010,Guts,problems,,,HMMT February 2010 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2010/feb/guts/problems.pdf,hmmt_pdfs/HMMT_February_2010_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2010_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2010_Guts_Problems.tex.zip,5
HMMT February,2010,Guts,solutions,,,HMMT February 2010 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2010/feb/guts/solutions.pdf,hmmt_pdfs/HMMT_February_2010_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2010_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2010_Guts_Solutions.tex.zip,15
HMMT February,2009,Algebra,problems,,,HMMT February 2009 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2009/feb/algnt/problems.pdf,hmmt_pdfs/HMMT_February_2009_Algebra_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2009_Algebra_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2009_Algebra_Problems.tex.zip,1
HMMT February,2009,Algebra,solutions,,,HMMT February 2009 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2009/feb/algnt/solutions.pdf,hmmt_pdfs/HMMT_February_2009_Algebra_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2009_Algebra_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2009_Algebra_Solutions.tex.zip,3
HMMT February,2009,Combinatorics,problems,,,HMMT February 2009 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2009/feb/comb/problems.pdf,hmmt_pdfs/HMMT_February_2009_Combinatorics_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2009_Combinatorics_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2009_Combinatorics_Problems.tex.zip,1
HMMT February,2009,Combinatorics,solutions,,,HMMT February 2009 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2009/feb/comb/solutions.pdf,hmmt_pdfs/HMMT_February_2009_Combinatorics_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2009_Combinatorics_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2009_Combinatorics_Solutions.tex.zip,4
HMMT February,2009,Geometry,problems,,,HMMT February 2009 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2009/feb/geo/problems.pdf,hmmt_pdfs/HMMT_February_2009_Geometry_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2009_Geometry_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2009_Geometry_Problems.tex.zip,1
HMMT February,2009,Geometry,solutions,,,HMMT February 2009 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2009/feb/geo/solutions.pdf,hmmt_pdfs/HMMT_February_2009_Geometry_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2009_Geometry_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2009_Geometry_Solutions.tex.zip,4
HMMT February,2009,Guts,problems,,,HMMT February 2009 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2009/feb/guts/problems.pdf,hmmt_pdfs/HMMT_February_2009_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2009_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2009_Guts_Problems.tex.zip,5
HMMT February,2009,Guts,solutions,,,HMMT February 2009 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2009/feb/guts/solutions.pdf,hmmt_pdfs/HMMT_February_2009_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2009_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2009_Guts_Solutions.tex.zip,9
HMMT February,2008,Algebra,problems,,,HMMT February 2008 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2008/feb/algnt/problems.pdf,hmmt_pdfs/HMMT_February_2008_Algebra_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2008_Algebra_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2008_Algebra_Problems.tex.zip,1
HMMT February,2008,Algebra,solutions,,,HMMT February 2008 Algebra,https://hmmt-archive.s3.amazonaws.com/tournaments/2008/feb/algnt/solutions.pdf,hmmt_pdfs/HMMT_February_2008_Algebra_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2008_Algebra_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2008_Algebra_Solutions.tex.zip,3
HMMT February,2008,Combinatorics,problems,,,HMMT February 2008 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2008/feb/comb/problems.pdf,hmmt_pdfs/HMMT_February_2008_Combinatorics_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2008_Combinatorics_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2008_Combinatorics_Problems.tex.zip,1
HMMT February,2008,Combinatorics,solutions,,,HMMT February 2008 Combinatorics,https://hmmt-archive.s3.amazonaws.com/tournaments/2008/feb/comb/solutions.pdf,hmmt_pdfs/HMMT_February_2008_Combinatorics_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2008_Combinatorics_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2008_Combinatorics_Solutions.tex.zip,4
HMMT February,2008,Geometry,problems,,,HMMT February 2008 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2008/feb/geo/problems.pdf,hmmt_pdfs/HMMT_February_2008_Geometry_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2008_Geometry_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2008_Geometry_Problems.tex.zip,1
HMMT February,2008,Geometry,solutions,,,HMMT February 2008 Geometry,https://hmmt-archive.s3.amazonaws.com/tournaments/2008/feb/geo/solutions.pdf,hmmt_pdfs/HMMT_February_2008_Geometry_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2008_Geometry_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2008_Geometry_Solutions.tex.zip,5
HMMT February,2008,Guts,problems,,,HMMT February 2008 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2008/feb/guts/problems.pdf,hmmt_pdfs/HMMT_February_2008_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2008_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_February_2008_Guts_Problems.tex.zip,5
HMMT February,2008,Guts,solutions,,,HMMT February 2008 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2008/feb/guts/solutions.pdf,hmmt_pdfs/HMMT_February_2008_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_February_2008_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_February_2008_Guts_Solutions.tex.zip,11
HMMT November,2025,General,problems,,,HMMT November 2025 General,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/nov/gen/problems.pdf,hmmt_pdfs/HMMT_November_2025_General_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2025_General_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2025_General_Problems.tex.zip,1
HMMT November,2025,General,solutions,,,HMMT November 2025 General,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/nov/gen/solutions.pdf,hmmt_pdfs/HMMT_November_2025_General_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2025_General_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2025_General_Solutions.tex.zip,7
HMMT November,2025,Guts,problems,,,HMMT November 2025 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/nov/guts/problems.pdf,hmmt_pdfs/HMMT_November_2025_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2025_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2025_Guts_Problems.tex.zip,7
HMMT November,2025,Guts,solutions,,,HMMT November 2025 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/nov/guts/solutions.pdf,hmmt_pdfs/HMMT_November_2025_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2025_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2025_Guts_Solutions.tex.zip,30
HMMT November,2025,Team,problems,,,HMMT November 2025 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/nov/team/problems.pdf,hmmt_pdfs/HMMT_November_2025_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2025_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2025_Team_Problems.tex.zip,1
HMMT November,2025,Team,solutions,,,HMMT November 2025 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/nov/team/solutions.pdf,hmmt_pdfs/HMMT_November_2025_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2025_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2025_Team_Solutions.tex.zip,8
HMMT November,2025,Theme,problems,,,HMMT November 2025 Theme,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/nov/thm/problems.pdf,hmmt_pdfs/HMMT_November_2025_Theme_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2025_Theme_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2025_Theme_Problems.tex.zip,2
HMMT November,2025,Theme,solutions,,,HMMT November 2025 Theme,https://hmmt-archive.s3.amazonaws.com/tournaments/2025/nov/thm/solutions.pdf,hmmt_pdfs/HMMT_November_2025_Theme_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2025_Theme_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2025_Theme_Solutions.tex.zip,9
HMMT November,2024,General,problems,,,HMMT November 2024 General,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/nov/gen/problems.pdf,hmmt_pdfs/HMMT_November_2024_General_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2024_General_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2024_General_Problems.tex.zip,1
HMMT November,2024,General,solutions,,,HMMT November 2024 General,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/nov/gen/solutions.pdf,hmmt_pdfs/HMMT_November_2024_General_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2024_General_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2024_General_Solutions.tex.zip,7
HMMT November,2024,Guts,problems,,,HMMT November 2024 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/nov/guts/problems.pdf,hmmt_pdfs/HMMT_November_2024_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2024_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2024_Guts_Problems.tex.zip,7
HMMT November,2024,Guts,solutions,,,HMMT November 2024 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/nov/guts/solutions.pdf,hmmt_pdfs/HMMT_November_2024_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2024_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2024_Guts_Solutions.tex.zip,23
HMMT November,2024,Team,problems,,,HMMT November 2024 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/nov/team/problems.pdf,hmmt_pdfs/HMMT_November_2024_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2024_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2024_Team_Problems.tex.zip,1
HMMT November,2024,Team,solutions,,,HMMT November 2024 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/nov/team/solutions.pdf,hmmt_pdfs/HMMT_November_2024_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2024_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2024_Team_Solutions.tex.zip,7
HMMT November,2024,Theme,problems,,,HMMT November 2024 Theme,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/nov/thm/problems.pdf,hmmt_pdfs/HMMT_November_2024_Theme_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2024_Theme_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2024_Theme_Problems.tex.zip,1
HMMT November,2024,Theme,solutions,,,HMMT November 2024 Theme,https://hmmt-archive.s3.amazonaws.com/tournaments/2024/nov/thm/solutions.pdf,hmmt_pdfs/HMMT_November_2024_Theme_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2024_Theme_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2024_Theme_Solutions.tex.zip,8
HMMT November,2023,General,problems,,,HMMT November 2023 General,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/nov/gen/problems.pdf,hmmt_pdfs/HMMT_November_2023_General_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2023_General_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2023_General_Problems.tex.zip,1
HMMT November,2023,General,solutions,,,HMMT November 2023 General,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/nov/gen/solutions.pdf,hmmt_pdfs/HMMT_November_2023_General_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2023_General_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2023_General_Solutions.tex.zip,6
HMMT November,2023,Guts,problems,,,HMMT November 2023 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/nov/guts/problems.pdf,hmmt_pdfs/HMMT_November_2023_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2023_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2023_Guts_Problems.tex.zip,6
HMMT November,2023,Guts,solutions,,,HMMT November 2023 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/nov/guts/solutions.pdf,hmmt_pdfs/HMMT_November_2023_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2023_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2023_Guts_Solutions.tex.zip,21
HMMT November,2023,Team,problems,,,HMMT November 2023 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/nov/team/problems.pdf,hmmt_pdfs/HMMT_November_2023_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2023_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2023_Team_Problems.tex.zip,1
HMMT November,2023,Team,solutions,,,HMMT November 2023 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/nov/team/solutions.pdf,hmmt_pdfs/HMMT_November_2023_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2023_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2023_Team_Solutions.tex.zip,6
HMMT November,2023,Theme,problems,,,HMMT November 2023 Theme,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/nov/thm/problems.pdf,hmmt_pdfs/HMMT_November_2023_Theme_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2023_Theme_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2023_Theme_Problems.tex.zip,1
HMMT November,2023,Theme,solutions,,,HMMT November 2023 Theme,https://hmmt-archive.s3.amazonaws.com/tournaments/2023/nov/thm/solutions.pdf,hmmt_pdfs/HMMT_November_2023_Theme_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2023_Theme_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2023_Theme_Solutions.tex.zip,5
HMMT November,2022,General,problems,,,HMMT November 2022 General,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/nov/gen/problems.pdf,hmmt_pdfs/HMMT_November_2022_General_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2022_General_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2022_General_Problems.tex.zip,1
HMMT November,2022,General,solutions,,,HMMT November 2022 General,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/nov/gen/solutions.pdf,hmmt_pdfs/HMMT_November_2022_General_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2022_General_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2022_General_Solutions.tex.zip,5
HMMT November,2022,Guts,problems,,,HMMT November 2022 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/nov/guts/problems.pdf,hmmt_pdfs/HMMT_November_2022_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2022_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2022_Guts_Problems.tex.zip,4
HMMT November,2022,Guts,solutions,,,HMMT November 2022 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/nov/guts/solutions.pdf,hmmt_pdfs/HMMT_November_2022_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2022_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2022_Guts_Solutions.tex.zip,13
HMMT November,2022,Team,problems,,,HMMT November 2022 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/nov/team/problems.pdf,hmmt_pdfs/HMMT_November_2022_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2022_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2022_Team_Problems.tex.zip,1
HMMT November,2022,Team,solutions,,,HMMT November 2022 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/nov/team/solutions.pdf,hmmt_pdfs/HMMT_November_2022_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2022_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2022_Team_Solutions.tex.zip,6
HMMT November,2022,Theme,problems,,,HMMT November 2022 Theme,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/nov/thm/problems.pdf,hmmt_pdfs/HMMT_November_2022_Theme_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2022_Theme_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2022_Theme_Problems.tex.zip,1
HMMT November,2022,Theme,solutions,,,HMMT November 2022 Theme,https://hmmt-archive.s3.amazonaws.com/tournaments/2022/nov/thm/solutions.pdf,hmmt_pdfs/HMMT_November_2022_Theme_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2022_Theme_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2022_Theme_Solutions.tex.zip,5
HMMT November,2021,General,problems,,,HMMT November 2021 General,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/nov/gen/problems.pdf,hmmt_pdfs/HMMT_November_2021_General_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2021_General_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2021_General_Problems.tex.zip,1
HMMT November,2021,General,solutions,,,HMMT November 2021 General,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/nov/gen/solutions.pdf,hmmt_pdfs/HMMT_November_2021_General_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2021_General_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2021_General_Solutions.tex.zip,6
HMMT November,2021,Guts,problems,,,HMMT November 2021 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/nov/guts/problems.pdf,hmmt_pdfs/HMMT_November_2021_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2021_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2021_Guts_Problems.tex.zip,7
HMMT November,2021,Guts,solutions,,,HMMT November 2021 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/nov/guts/solutions.pdf,hmmt_pdfs/HMMT_November_2021_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2021_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2021_Guts_Solutions.tex.zip,16
HMMT November,2021,Team,problems,,,HMMT November 2021 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/nov/team/problems.pdf,hmmt_pdfs/HMMT_November_2021_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2021_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2021_Team_Problems.tex.zip,2
HMMT November,2021,Team,solutions,,,HMMT November 2021 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/nov/team/solutions.pdf,hmmt_pdfs/HMMT_November_2021_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2021_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2021_Team_Solutions.tex.zip,5
HMMT November,2021,Theme,problems,,,HMMT November 2021 Theme,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/nov/thm/problems.pdf,hmmt_pdfs/HMMT_November_2021_Theme_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2021_Theme_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2021_Theme_Problems.tex.zip,1
HMMT November,2021,Theme,solutions,,,HMMT November 2021 Theme,https://hmmt-archive.s3.amazonaws.com/tournaments/2021/nov/thm/solutions.pdf,hmmt_pdfs/HMMT_November_2021_Theme_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2021_Theme_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2021_Theme_Solutions.tex.zip,6
HMMT November,2020,General,problems,,,HMMT November 2020 General,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/nov/gen/problems.pdf,hmmt_pdfs/HMMT_November_2020_General_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2020_General_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2020_General_Problems.tex.zip,1
HMMT November,2020,General,solutions,,,HMMT November 2020 General,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/nov/gen/solutions.pdf,hmmt_pdfs/HMMT_November_2020_General_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2020_General_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2020_General_Solutions.tex.zip,5
HMMT November,2020,Guts,problems,,,HMMT November 2020 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/nov/guts/problems.pdf,hmmt_pdfs/HMMT_November_2020_Guts_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2020_Guts_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2020_Guts_Problems.tex.zip,6
HMMT November,2020,Guts,solutions,,,HMMT November 2020 Guts,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/nov/guts/solutions.pdf,hmmt_pdfs/HMMT_November_2020_Guts_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2020_Guts_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2020_Guts_Solutions.tex.zip,16
HMMT November,2020,Team,problems,,,HMMT November 2020 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/nov/team/problems.pdf,hmmt_pdfs/HMMT_November_2020_Team_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2020_Team_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2020_Team_Problems.tex.zip,1
HMMT November,2020,Team,solutions,,,HMMT November 2020 Team,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/nov/team/solutions.pdf,hmmt_pdfs/HMMT_November_2020_Team_Solutions.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2020_Team_Solutions.md,mathpix_output/hmmt_pdfs/HMMT_November_2020_Team_Solutions.tex.zip,6
HMMT November,2020,Theme,problems,,,HMMT November 2020 Theme,https://hmmt-archive.s3.amazonaws.com/tournaments/2020/nov/thm/problems.pdf,hmmt_pdfs/HMMT_November_2020_Theme_Problems.pdf,mathpix_output/hmmt_pdfs/HMMT_November_2020_Theme_Problems.md,mathpix_output/hmmt_pdfs/HMMT_November_2020_Theme_Problems.tex.zip,1
